Designator,Mid X,Mid Y,Layer,Rotation
U1,100.000mm,8.800mm,Top,180
U2,92.400mm,11.800mm,Top,0
C1,92.400mm,13.600mm,Top,90
C2,92.400mm,15.500mm,Top,90
C3,107.600mm,12.400mm,Top,90
C4,107.600mm,15.600mm,Top,90
