Designator,Mid X,Mid Y,Layer,Rotation
R1,29.0mm,14.5mm,Top,0.0
R2,29.0mm,19.58mm,Top,0.0
R3,29.0mm,22.12mm,Top,0.0
U1,16.0mm,38.0mm,Top,0.0
